depot,fleet_size,mode,configuration,metric,n,mean,standard_deviation,bootstrap_ci95_low,bootstrap_ci95_high
depot_a,16,altruistic,rule_text_event_trigger,optimizer_latency_seconds_mean,3,4.357027,0.028185448404274217,4.3331685,4.3881265
depot_a,16,altruistic,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,6.6171875,0.15249391637455575,6.4609375,6.765625
depot_a,16,altruistic,rule_text_event_trigger,solver_wall_seconds_mean,3,1.0318871666666667,0.006813773997083597,1.027355,1.039723
depot_a,16,altruistic,rule_text_event_trigger,solver_wall_seconds_max,3,1.2194329999999998,0.01518854861400523,1.205766,1.235785
depot_a,16,altruistic,rule_text_event_trigger,solver_model_variables_max,3,19620.0,0.0,19620.0,19620.0
depot_a,16,altruistic,rule_text_event_trigger,solver_model_constraints_max,3,11449.0,0.0,11449.0,11449.0
depot_a,16,altruistic,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,16,altruistic,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_a,16,selfish,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,16,selfish,full_agentic,mode_aligned_economic_score,3,60.84132278127362,0.0,60.84132278127362,60.84132278127362
depot_a,16,selfish,full_agentic,run_wall_seconds,3,71.45480466666667,2.2154801814435925,69.909534,73.993072
depot_a,16,selfish,full_agentic,run_process_cpu_seconds,3,22.067708333333332,1.4215601757693317,20.484375,23.234375
depot_a,16,selfish,full_agentic,run_peak_rss_mb,3,378.599,6.331188829911807,372.387,385.04299999999995
depot_a,16,selfish,full_agentic,llm_latency_seconds,3,60.17011133333333,2.4571856212859324,58.522743,62.994394
depot_a,16,selfish,full_agentic,llm_total_tokens,3,148765.66666666666,1381.8032903902542,147785.0,150346.0
depot_a,16,selfish,full_agentic,llm_approximate_cost_usd,3,0.030742596666666667,0.0013501224603839946,0.02936466,0.03206307
depot_a,16,selfish,full_agentic,optimizer_latency_seconds_mean,3,4.7284576666666664,0.10347257776378875,4.609154,4.7937265
depot_a,16,selfish,full_agentic,optimizer_process_cpu_seconds_mean,3,9.4765625,0.7150465047157772,8.671875,10.0390625
depot_a,16,selfish,full_agentic,solver_wall_seconds_mean,3,1.2316998333333335,0.14164424594502006,1.0689605,1.3272125
depot_a,16,selfish,full_agentic,solver_wall_seconds_max,3,1.3877513333333333,0.2678471345494168,1.080339,1.570874
depot_a,16,selfish,full_agentic,solver_model_variables_max,3,19620.0,0.0,19620.0,19620.0
depot_a,16,selfish,full_agentic,solver_model_constraints_max,3,11449.0,0.0,11449.0,11449.0
depot_a,16,selfish,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,16,selfish,full_agentic,solver_iterations_max,0,,0.0,,
depot_a,16,selfish,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,16,selfish,rule_text_event_trigger,mode_aligned_economic_score,3,60.84132278127412,0.0,60.84132278127412,60.84132278127412
depot_a,16,selfish,rule_text_event_trigger,run_wall_seconds,3,10.317450333333333,0.06244056694436125,10.257754,10.382314
depot_a,16,selfish,rule_text_event_trigger,run_process_cpu_seconds,3,12.630208333333334,0.19411088701650234,12.40625,12.75
depot_a,16,selfish,rule_text_event_trigger,run_peak_rss_mb,3,312.87399999999997,1.209477573169504,312.02,314.258
